what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1227999468358
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1227999468358
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1227999468358
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.100.v20080528,org.eclipse.jst.server.tomcat.ui,1227999468366
stopped,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1227999468366
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1227999468366
stopped,bundle,eclipseme.toolkit.me4se,1.7.7,eclipseme.toolkit.me4se,1227999468385
stopped,bundle,eclipseme.toolkit.microemu,1.7.8,eclipseme.toolkit.microemu,1227999468400
stopped,bundle,eclipseme.toolkit.motorola,1.7.7,eclipseme.toolkit.motorola,1227999468423
stopped,bundle,eclipseme.toolkit.mpowerplayer,1.7.7,eclipseme.toolkit.mpowerplayer,1227999468431
stopped,bundle,eclipseme.toolkit.uei,1.7.8,eclipseme.toolkit.uei,1227999468431
stopped,bundle,eclipseme.ui,1.7.8,eclipseme.ui,1227999468431
stopped,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1227999468449
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.0.100.v200805140145,org.eclipse.jst.server.preview.adapter,1227999468456
stopped,bundle,runjettyrun,1.0.1,runjettyrun,1227999468457
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1227999468457
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1227999468514
stopped,bundle,com.android.ide.eclipse.adt,0.4.0.200802081635,com.android.ide.eclipse.adt,1227999468523
stopped,bundle,com.android.ide.eclipse.ddms,0.3.0.200802081635,com.android.ide.eclipse.ddms,1227999468575
stopped,bundle,com.android.ide.eclipse.editors,0.2.0.200802081635,com.android.ide.eclipse.editors,1227999468595
stopped,bundle,de.loskutov.eclipse.jdepend,1.2.1,de.loskutov.eclipse.jdepend,1227999468595
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.102.v200806010600,org.eclipse.jst.common.annotations.ui,1227999468618
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.ui,1227999468669
